store first_date last_date num_dates num_products orig_points expected_points(cartesian) filled_points
ch 2026-02-15 2026-07-31 167 8545 695491 1427015 1384458
dailyshopping 2026-03-25 2026-03-27 3 871 2274 2613 2518
ds 2026-03-25 2026-03-28 4 871 3023 3484 3389
fd 2026-07-23 2026-08-04 13 5567 37910 72371 68826
mb 2026-03-25 2026-08-04 133 23379 634888 3109407 2456350
mt 2026-07-23 2026-08-04 13 961 7121 12493 11785
ot 2026-04-17 2026-07-29 104 91161 991635 9480744 9406907
sh 2026-02-16 2026-08-03 169 14743 1074403 2491567 2092824
sj 2026-05-17 2026-08-05 81 634 33989 51354 44059
un 2026-05-18 2026-08-05 80 3656 142414 292480 222043
